LAST SEEN   TYPE      REASON                   OBJECT                                MESSAGE
21h         Normal    Scheduled                pod/focusflow-api-84855665b7-4gnxd    Successfully assigned cloudpath/focusflow-api-84855665b7-4gnxd to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-84855665b7-6zq7v    Successfully assigned cloudpath/focusflow-api-84855665b7-6zq7v to cloudpath-local-control-plane
102s        Normal    Scheduled                pod/focusflow-api-59887588b7-bdcvf    Successfully assigned cloudpath/focusflow-api-59887588b7-bdcvf to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-84855665b7-gm9jx    Successfully assigned cloudpath/focusflow-api-84855665b7-gm9jx to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-68cd46f66c-jzpps    Successfully assigned cloudpath/focusflow-api-68cd46f66c-jzpps to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-84855665b7-ss8rb    Successfully assigned cloudpath/focusflow-api-84855665b7-ss8rb to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-68cd46f66c-2cnhc    Successfully assigned cloudpath/focusflow-api-68cd46f66c-2cnhc to cloudpath-local-control-plane
3m14s       Normal    Scheduled                pod/focusflow-api-5c99c5f649-55w8j    Successfully assigned cloudpath/focusflow-api-5c99c5f649-55w8j to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-68cd46f66c-dxl44    Successfully assigned cloudpath/focusflow-api-68cd46f66c-dxl44 to cloudpath-local-control-plane
21h         Normal    Scheduled                pod/focusflow-api-68cd46f66c-55ppw    Successfully assigned cloudpath/focusflow-api-68cd46f66c-55ppw to cloudpath-local-control-plane
21h         Normal    SandboxChanged           pod/focusflow-api-c876f9779-2nfks     Pod sandbox changed, it will be killed and re-created.
21h         Normal    Pulled                   pod/focusflow-api-c876f9779-xczhx     Container image "focusflow-api:0.1.0" already present on machine
21h         Normal    SandboxChanged           pod/focusflow-api-c876f9779-xczhx     Pod sandbox changed, it will be killed and re-created.
21h         Normal    Pulled                   pod/focusflow-api-c876f9779-2nfks     Container image "focusflow-api:0.1.0" already present on machine
21h         Normal    Created                  pod/focusflow-api-c876f9779-2nfks     Created container focusflow-api
21h         Normal    Created                  pod/focusflow-api-c876f9779-xczhx     Created container focusflow-api
21h         Normal    Started                  pod/focusflow-api-c876f9779-2nfks     Started container focusflow-api
21h         Normal    Started                  pod/focusflow-api-c876f9779-xczhx     Started container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-68cd46f66c-2cnhc    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Created                  pod/focusflow-api-68cd46f66c-2cnhc    Created container focusflow-api
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-68cd46f66c to 1
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-68cd46f66c   Created pod: focusflow-api-68cd46f66c-2cnhc
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-2cnhc    Started container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-c876f9779    Deleted pod: focusflow-api-c876f9779-2nfks
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-c876f9779 to 1 from 2
21h         Normal    Killing                  pod/focusflow-api-c876f9779-2nfks     Stopping container focusflow-api
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-68cd46f66c   Created pod: focusflow-api-68cd46f66c-55ppw
21h         Normal    Started                  pod/focusflow-api-68cd46f66c-55ppw    Started container focusflow-api
21h         Normal    Created                  pod/focusflow-api-68cd46f66c-55ppw    Created container focusflow-api
21h         Normal    Pulled                   pod/focusflow-api-68cd46f66c-55ppw    Container image "focusflow-api:1.0.0" already present on machine
21h         Normal    Killing                  pod/focusflow-api-c876f9779-xczhx     Stopping container focusflow-api
21h         Normal    SuccessfulDelete         replicaset/focusflow-api-c876f9779    Deleted pod: focusflow-api-c876f9779-xczhx
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled down replica set focusflow-api-c876f9779 to 0 from 1
21h         Normal    ScalingReplicaSet        deployment/focusflow-api              Scaled up replica set focusflow-api-84855665b7 to 1
21h         Normal    SuccessfulCreate         replicaset/focusflow-api-84855665b7   Created pod: focusflow-api-84855665b7-4gnxd
21h         Normal    Started                  pod/focusflow-api-84855665b7-4gnxd    Started container focusflow-api
